,date,Tim,Lawan,Prediksi
0,2022-01-23,Arsenal,Burnley,D
1,2022-02-10,Arsenal,Wolves,W
2,2022-02-19,Arsenal,Brentford,W
3,2022-02-24,Arsenal,Wolves,W
4,2022-03-06,Arsenal,Watford,W
5,2022-03-13,Arsenal,Leicester City,W
6,2022-03-19,Arsenal,Aston Villa,W
7,2022-04-04,Arsenal,Crystal Palace,L
8,2022-04-09,Arsenal,Brighton,L
9,2022-04-16,Arsenal,Southampton,L
10,2022-04-20,Arsenal,Chelsea,W
11,2022-04-23,Arsenal,Manchester Utd,W
12,2022-01-02,Aston Villa,Brentford,L
13,2022-01-15,Aston Villa,Manchester Utd,D
14,2022-01-22,Aston Villa,Everton,W
15,2022-02-09,Aston Villa,Leeds United,D
16,2022-02-13,Aston Villa,Newcastle Utd,L
17,2022-02-19,Aston Villa,Watford,L
18,2022-02-26,Aston Villa,Brighton,W
19,2022-03-05,Aston Villa,Southampton,W
20,2022-03-10,Aston Villa,Leeds United,W
21,2022-03-13,Aston Villa,West Ham,L
22,2022-03-19,Aston Villa,Arsenal,L
23,2022-04-02,Aston Villa,Wolves,L
24,2022-04-09,Aston Villa,Tottenham,L
25,2022-04-23,Aston Villa,Leicester City,D
26,2022-01-02,Brentford,Aston Villa,W
27,2022-01-11,Brentford,Southampton,L
28,2022-01-19,Brentford,Manchester Utd,L
29,2022-01-22,Brentford,Wolves,L
30,2022-02-09,Brentford,Manchester City,L
31,2022-02-12,Brentford,Crystal Palace,D
32,2022-02-19,Brentford,Arsenal,L
33,2022-02-26,Brentford,Newcastle Utd,L
34,2022-03-05,Brentford,Norwich City,W
35,2022-03-12,Brentford,Burnley,W
36,2022-03-20,Brentford,Leicester City,L
37,2022-04-02,Brentford,Chelsea,W
38,2022-04-10,Brentford,West Ham,W
39,2022-04-16,Brentford,Watford,W
40,2022-04-23,Brentford,Tottenham,D
41,2022-01-02,Brighton,Everton,W
42,2022-01-14,Brighton,Crystal Palace,D
43,2022-01-18,Brighton,Chelsea,D
44,2022-01-23,Brighton,Leicester City,D
45,2022-02-12,Brighton,Watford,W
46,2022-02-15,Brighton,Manchester Utd,L
47,2022-02-19,Brighton,Burnley,L
48,2022-02-26,Brighton,Aston Villa,L
49,2022-03-05,Brighton,Newcastle Utd,L
50,2022-03-16,Brighton,Tottenham,L
51,2022-04-02,Brighton,Norwich City,D
52,2022-04-09,Brighton,Arsenal,W
53,2022-04-16,Brighton,Tottenham,W
54,2022-04-20,Brighton,Manchester City,L
55,2022-04-24,Brighton,Southampton,D
56,2022-01-02,Burnley,Leeds United,L
57,2022-01-23,Burnley,Arsenal,D
58,2022-02-05,Burnley,Watford,D
59,2022-02-08,Burnley,Manchester Utd,D
60,2022-02-19,Burnley,Brighton,W
61,2022-02-23,Burnley,Tottenham,W
62,2022-02-26,Burnley,Crystal Palace,D
63,2022-03-01,Burnley,Leicester City,L
64,2022-03-05,Burnley,Chelsea,L
65,2022-03-12,Burnley,Brentford,L
66,2022-04-02,Burnley,Manchester City,L
67,2022-04-06,Burnley,Everton,W
68,2022-04-10,Burnley,Norwich City,L
69,2022-04-17,Burnley,West Ham,D
70,2022-04-21,Burnley,Southampton,W
71,2022-04-24,Burnley,Wolves,W
72,2022-01-15,Chelsea,Manchester City,L
73,2022-01-18,Chelsea,Brighton,D
74,2022-01-23,Chelsea,Tottenham,W
75,2022-02-19,Chelsea,Crystal Palace,W
76,2022-03-05,Chelsea,Burnley,W
77,2022-03-10,Chelsea,Norwich City,W
78,2022-03-13,Chelsea,Newcastle Utd,W
79,2022-04-02,Chelsea,Brentford,L
80,2022-04-09,Chelsea,Southampton,W
81,2022-04-20,Chelsea,Arsenal,L
82,2022-04-24,Chelsea,West Ham,W
83,2022-01-14,Crystal Palace,Brighton,D
84,2022-02-09,Crystal Palace,Norwich City,D
85,2022-02-12,Crystal Palace,Brentford,D
86,2022-02-19,Crystal Palace,Chelsea,L
87,2022-02-23,Crystal Palace,Watford,W
88,2022-02-26,Crystal Palace,Burnley,D
89,2022-03-05,Crystal Palace,Wolves,W
90,2022-03-14,Crystal Palace,Manchester City,D
91,2022-04-04,Crystal Palace,Arsenal,W
92,2022-04-10,Crystal Palace,Leicester City,L
